BTS_sp,level,Com_name,DB_sp,Status,Genus,Subfamily,Family,Order,Class,SuperClass,Phylum,Kingdom,type
Pleuronectidae,Family,Righteye flounders,Pleuronectidae,,NA,NA,Pleuronectidae,Pleuronectiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Pleuronectiformes,Order,Flatfish,Pleuronectiformes,,NA,NA,NA,Pleuronectiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Pomacentridae,Family,"Damselfishes, clownfishes",Pomacentridae,,NA,NA,Pomacentridae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Portunidae,Family,Swimming crabs,Portunidae,,NA,NA,Portunidae,Decapoda,Malacostraca,NA,Arthropoda,Animalia,not_fish
Scaridae,Family,Parrotfishes,Scaridae,,NA,NA,Scaridae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Sciaenidae,Family,"Drums, croakers",Sciaenidae,,NA,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Scombridae,Family,"Mackerel, tuna, bonito",Scombridae,,NA,NA,Scombridae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Scorpaenidae,Family,Scorpionfishes,Scorpaenidae,,NA,NA,Scorpaenidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Selachimorpha,Class,"Sharks, rays, and skates",Elasmobranchii,invalid,NA,NA,NA,NA,Elasmobranchii,Chondrichthyes,Chordata,Animalia,fish
Sepiolidae,Family,Bobtail squid,Sepiolidae,,NA,NA,Sepiolidae,Sepiolida,Cephalopoda,NA,Mollusca,Animalia,not_fish
Serranidae,Family,"Basses, groupers",Serranidae,,NA,NA,Serranidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Sphyraena,Genus,Barracuda,Sphyraena,,Sphyraena,NA,Sphyraenidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Squalidae,Family,"dogfish sharks, spiny dogfish",Squalidae,,NA,NA,Squalidae,Squaliformes,Elasmobranchii,Chondrichthyes,Chordata,Animalia,fish
Stelleroidea,Class,Sea stars,Asteroidea,invalid,NA,NA,NA,NA,Asteroidea,NA,Echinodermata,Animalia,not_fish
Sternoptychidae,Family,deepsea hatchetfishes,Sternoptychidae,,NA,NA,Sternoptychidae,Stomiiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Stomatopoda,Order,Mantis shrimp,Stomatopoda,,NA,NA,NA,Stomatopoda,Malacostraca,NA,Arthropoda,Animalia,not_fish
Stomiidae,Family,Barbeled dragonfishes,Stomiidae,,NA,NA,Stomiidae,Stomiiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Stromateidae,Family,Butterfish,Stromateidae,,NA,NA,Stromateidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Symphurus,Genus,Flatfish,Symphurus,,Symphurus,Symphurinae,Cynoglossidae,Pleuronectiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Syngnathidae,Family,"seahorses, pipefish, seadragons",Syngnathidae,,NA,NA,Syngnathidae,Syngnathiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Synodontidae,Family,Lizardfish,Synodontidae,,NA,NA,Synodontidae,Aulopiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Tetraodontidae,Family,Pufferfish,Tetraodontidae,,NA,NA,Tetraodontidae,Tetraodontiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Trichiuridae,Family,Cutlassfish,Trichiuridae,,NA,NA,Trichiuridae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Triglidae,Family,"Sea robins, gurnard",Triglidae,,NA,NA,Triglidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Uranoscopidae,Family,Stargazers,Uranoscopidae,,NA,NA,Uranoscopidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Urophycis,Genus,Hakes,Urophycis,,Urophycis,NA,Phycidae,Gadiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
Zoarcidae,Family,Eelpouts,Zoarcidae,,NA,NA,Zoarcidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish
