BTS_sp,level,Com_name,DB_sp,Status,Genus,Subfamily,Family,Order,Class,SuperClass,Phylum,Kingdom,type,habitat,swimbladder,Notes
Sciaenidae,Family,"Drums, croakers",Sciaenidae,,NA,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish,,gas,
Scombridae,Family,"Mackerel, tuna, bonito",Scombridae,,NA,NA,Scombridae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish,,gas,
Scorpaenidae,Family,Scorpionfishes,Scorpaenidae,,NA,NA,Scorpaenidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish,,gas,
Sepiolidae,Family,Bobtail squid,Sepiolidae,,NA,NA,Sepiolidae,Sepiolida,Cephalopoda,NA,Mollusca,Animalia,not_fish,,NP,
Serranidae,Family,"Basses, groupers",Serranidae,,NA,NA,Serranidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish,,gas,
Squalidae,Family,"dogfish sharks, spiny dogfish",Squalidae,,NA,NA,Squalidae,Squaliformes,Elasmobranchii,Chondrichthyes,Chordata,Animalia,fish,,NP,
Sternoptychidae,Family,deepsea hatchetfishes,Sternoptychidae,,NA,NA,Sternoptychidae,Stomiiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish,,NA,guessing
Stomiidae,Family,Barbeled dragonfishes,Stomiidae,,NA,NA,Stomiidae,Stomiiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish,,NA,guessing
Stromateidae,Family,Butterfish,Stromateidae,,NA,NA,Stromateidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish,,gas,
Syngnathidae,Family,"seahorses, pipefish, seadragons",Syngnathidae,,NA,NA,Syngnathidae,Syngnathiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish,,NA,guessing
Synodontidae,Family,Lizardfish,Synodontidae,,NA,NA,Synodontidae,Aulopiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish,,NP,Aulopifomes either have a vestigial gas bladder or lack it entirely
Tetraodontidae,Family,Pufferfish,Tetraodontidae,,NA,NA,Tetraodontidae,Tetraodontiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish,,gas,
Trichiuridae,Family,Cutlassfish,Trichiuridae,,NA,NA,Trichiuridae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish,,gas,
Triglidae,Family,"Sea robins, gurnard",Triglidae,,NA,NA,Triglidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish,,gas,
Uranoscopidae,Family,Stargazers,Uranoscopidae,,NA,NA,Uranoscopidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish,,gas,
Zoarcidae,Family,Eelpouts,Zoarcidae,,NA,NA,Zoarcidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish,,gas,
Artediellus,Genus,Sculpins,Artediellus,,Artediellus,NA,Cottidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish,,gas,
Chlorophthalmus,Genus,Greeneyes,Chlorophthalmus,,Chlorophthalmus,NA,Chlorophthalmus,Aulopiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish,,NP,Aulopifomes either have a vestigial gas bladder or lack it entirely
Citharichthys,Genus,Large-toothed flounders,Citharichthys,,Citharichthys,NA,Paralichthyidae,Pleuronectiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish,,NP,"have swim bladder as larvae, lose it as adult"
Etropus,Genus,Large-toothed flounders,Etropus,,Etropus,NA,Paralichthyidae,Pleuronectiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish,,NP,"have swim bladder as larvae, lose it as adult"
Fistularia,Genus,Cornetfishes,Fistularia,,Fistularia,NA,Fistulariidae,Syngnathiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish,,NA,guessing
Ovalipes,Genus,Crabs,Ovalipes,,Ovalipes,NA,Portunidae,Decapoda,Malacostraca,NA,Arthropoda,Animalia,not_fish,,NP,
Paralichthys,Genus,Large-toothed flounders,Paralichthys,,Paralichthys,NA,Paralichthyidae,Pleuronectiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish,,NP,"have swim bladder as larvae, lose it as adult"
Penaeus,Genus,Prawns,Penaeus,,Penaeus,NA,Penaeidae,Decapoda,Malacostraca,NA,Arthropoda,Animalia,not_fish,,NP,
Sphyraena,Genus,Barracuda,Sphyraena,,Sphyraena,NA,Sphyraenidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish,,gas,
Symphurus,Genus,Flatfish,Symphurus,,Symphurus,Symphurinae,Cynoglossidae,Pleuronectiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish,,NP,"have swim bladder as larvae, lose it as adult"
Urophycis,Genus,Hakes,Urophycis,,Urophycis,NA,Phycidae,Gadiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish,,gas,
Anguilliformes,Order,Eels,Anguilliformes,,NA,NA,NA,Anguilliformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish,,gas,
Crustacea shrimp,Order,Shrimp,Decapoda,common_name,NA,NA,NA,Decapoda,Malacostraca,NA,Arthropoda,Animalia,not_fish,,NP,
Lophiiformes,Order,Anglerfish,Lophiiformes,,NA,NA,NA,Lophiiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish,,gas,
Octopoda,Order,Octopus,Octopoda,,NA,NA,NA,Octopoda,Cephalopoda,NA,Mollusca,Animalia,not_fish,,NP,
Pleuronectiformes,Order,Flatfish,Pleuronectiformes,,NA,NA,NA,Pleuronectiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,fish,,NP,"have swim bladder as larvae, lose it as adult"
Stomatopoda,Order,Mantis shrimp,Stomatopoda,,NA,NA,NA,Stomatopoda,Malacostraca,NA,Arthropoda,Animalia,not_fish,,NP,
