cruiseid,cruise,station,beginlon,beginlat,begindatetime,stratum,HOMARUS AMERICANUS,MYCTOPHIDAE,LOPHIUS GASTROPHYSUS,LIMANDA FERRUGINEA,BROSME BROSME,ARGYROPELECUS ACULEATUS,CONGER OCEANICUS,SPIRONTOCARIS LILJEBORGII,ULVARIA SUBBIFURCATA,SEBASTES FASCIATUS,PEPRILUS TRIACANTHUS,MONOLENE SESSILICAUDA,MICROPOGONIAS UNDULATUS,MELANOSTIGMA ATLANTICUM,XENOLEPIDICHTHYS DALGLEISHI,ANCHOA MITCHILLI,MACROZOARCES AMERICANUS,MALACORAJA SENTA,CANCER IRRORATUS,ACIPENSER OXYRHYNCHUS,MENTICIRRHUS AMERICANUS,TORPEDO NOBILIANA,HIPPOGLOSSUS HIPPOGLOSSUS,DIPTURUS LAEVIS,OVALIPES OCELLATUS,MERLUCCIUS ALBIDUS,CYCLOPTERUS LUMPUS,STENOTOMUS CHRYSOPS,OPISTHONEMA OGLINUM,SYNGNATHIDAE,CLUPEA HARENGUS,SCOPHTHALMUS AQUOSUS,AMBLYRAJA RADIATA,PASIPHAEA MULTIDENTATA,TRICHIURUS LEPTURUS,ANCHOA HEPSETUS,OPHICHTHIDAE,STOLOTEUTHIS LEUCOPTERA,PRIACANTHUS ARENATUS,SYMPHURUS SP,PRIONOTUS CAROLINUS,CRYPTACANTHODES MACULATUS,LOLLIGUNCULA BREVIS,PSEUDOPLEURONECTES AMERICANUS,ALOSA SAPIDISSIMA,CAULOLATILUS MICROPS,ALOSA PSEUDOHARENGUS,UROPHYCIS CHUSS,PRIONOTUS TRIBULUS,LITHODES MAJA,CYNOSCION NOTHUS,MACROURIDAE,GERYON QUINQUEDENS,OVALIPES STEPHENSONI,ANTIGONIA CAPROS,CHLOROPHTHALMUS AGASSIZI,PONTOPHILUS NORVEGICUS,POGONIAS CROMIS,RAJA EGLANTERIA,BREVOORTIA TYRANNUS,PLACOPECTEN MAGELLANICUS,HEMITRIPTERUS AMERICANUS,UROPHYCIS CHESTERI,PRIONOTUS ALATUS,CHLOROPHTHALMUS SP,TAUTOGOLABRUS ADSPERSUS,MACRORHAMPHOSUS SCOLOPAX,PROMETHICHTHYS PROMETHEUS,CENTROPRISTIS STRIATA,ARCHOSARGUS PROBATOCEPHALUS,DICHELOPANDALUS LEPTOCERUS,CALLINECTES SAPIDUS,LIMULUS POLYPHEMUS,LEUCORAJA GARMANI,ASTROSCOPUS GUTTATUS,TRASH SPECIES IN CATCH,HELICOLENUS DACTYLOPTERUS,MYOXOCEPHALUS OCTODECEMSPINOSUS,UROPHYCIS TENUIS,POLYMIXIA LOWEI,LEUCORAJA OCELLATA,OPHIDION MARGINATUM,ZENOPSIS CONCHIFERA,GLYPTOCEPHALUS CYNOGLOSSUS,CONGRIDAE,LEIOSTOMUS XANTHURUS,CITHARICHTHYS CORNUTUS,MORONE SAXATILIS,GADUS MORHUA,UROPHYCIS REGIA,CYNOSCION REGALIS,LEBBEUS POLARIS,PERISTEDION GRACILE,OPHIDION GRAYI,PARALICHTHYS OBLONGUS,PANDALUS MONTAGUI,PARALEPIDAE,SYNGNATHUS FUSCUS,SCOMBER SCOMBRUS,PANDALUS PROPINQUUS,SPISULA SOLIDISSIMA,MAUROLICUS WEITZMANI,ILLEX ILLECEBROSUS,SQUATINA DUMERIL,HIPPOGLOSSOIDES PLATESSOIDES,CHIONOECETES OPILIO,PERISTEDION MINIATUM,MYXINE GLUTINOSA,CRUSTACEA SHRIMP,PARASUDIS TRUCULENTA,CHLAMYS ISLANDICA,HEMANTHIAS AUREORUBENS,ARGENTINA SILUS,SCIAENOPS OCELLATUS,LARIMUS FASCIATUS,MERLUCCIUS BILINEARIS,LOPHOLATILUS CHAMAELEONTICEPS,SQUALUS ACANTHIAS,ENCHELYOPUS CIMBRIUS,SCYLIORHINUS RETIFER,MUSTELUS CANIS,MYOXOCEPHALUS AENAEUS,MELANOGRAMMUS AEGLEFINUS,LEPOPHIDIUM PROFUNDORUM,POLLACHIUS VIRENS,AMMODYTES DUBIUS,BAIRDIELLA CHRYSOURA,STERNOPTYCHIDAE,SCORPAENIDAE,BATHYPOLYPUS ARCTICUS,SEPIOLIDAE,ORTHOPRISTIS CHRYSOPTERA,ARCTICA ISLANDICA,ALOSA AESTIVALIS,PRIONOTUS EVOLANS,PARALICHTHYS DENTATUS,LEUCORAJA ERINACEA,CITHARICHTHYS ARCTIFRONS,LOLIGO PEALEII,ANGUILLIFORMES,ASPIDOPHOROIDES MONOPTERYGIUS,GALATHEIDAE,CRANGON SEPTEMSPINOSA,TRIGLOPS MURRAYI,ASTERIAS VULGARIS,ETROPUS SP,TRACHURUS LATHAMI,PANDALUS BOREALIS,STOMATOPODA,MENTICIRRHUS SAXATILIS,CANCER BOREALIS,LABRIDAE,CARCHARIAS TAURUS,PETROMYZON MARINUS,LOPHIUS AMERICANUS,LAGODON RHOMBOIDES,POMATOMUS SALTATRIX,SERRANIDAE,ANARHICHAS LUPUS,MENIDIA MENIDIA
HB201802,201802,188,-66.277168,41.332795,22/04/2018-21:24:51,1160,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
HB201802,201802,44,-74.668912,36.719278,18/03/2018-22:49:49,1680,0,161,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,47,0,0,0,0,6,0,5,0,0,0,0,8,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,794,0,2,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HB201802,201802,75,-73.769245,40.492875,30/03/2018-03:24:06,3140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,1,0,0,5,0,0,35,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,96,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,3,278,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB201802,201802,113,-74.707402,37.774953,02/04/2018-02:23:45,1690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,37,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,69,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB201802,201802,149,-71.439065,40.885202,18/04/2018-00:52:32,1060,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,57,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,32,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,472,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HB201802,201802,13,-75.393828,36.867112,15/03/2018-16:36:55,1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HB201802,201802,40,-74.777818,36.430805,18/03/2018-15:41:29,1640,0,14,0,0,0,0,0,0,0,0,203,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,132,0,0,0,0,11,0,0,0,0,0,0,0,64,4,0,0,0,0,0,0,0,0,0,0,0,0,0,479,0,4,266,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
HB201802,201802,34,-74.910325,36.001088,17/03/2018-21:14:44,1620,0,0,0,0,0,0,0,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,46,0,76,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2412,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,289,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0
HB201802,201802,211,-69.323182,41.018502,02/05/2018-15:29:08,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HB201802,201802,32,-75.396465,35.407312,17/03/2018-12:48:09,3440,0,0,0,0,0,0,0,0,0,0,67,0,34,0,0,32,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,4,8,0,25,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,4,39,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,78,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,5,0,0,1,0,0,0,0,0,107,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
