cruiseid,cruise,station,beginlon,beginlat,begindatetime,stratum,POLLACHIUS VIRENS,REINHARDTIUS HIPPOGLOSSOIDES,MENTICIRRHUS SAXATILIS,GYMNURA ALTAVELA,MUSTELUS CANIS,TRIGLOPS MURRAYI,ARCTICA ISLANDICA,ILLEX ILLECEBROSUS,TORPEDO NOBILIANA,ASTROSCOPUS GUTTATUS,PROMETHICHTHYS PROMETHEUS,CRUSTACEA SHRIMP,PEPRILUS TRIACANTHUS,MACROURIDAE,ACANTHOCARPUS ALEXANDRI,SALMO SALAR,SYNAGROPS BELLUS,PARALEPIDAE,UROPHYCIS TENUIS,ARGOPECTEN IRRADIANS,SYNODONTIDAE,PHOLIS GUNNELLUS,MELANOGRAMMUS AEGLEFINUS,TAUTOGOLABRUS ADSPERSUS,CEPHALOPODA,CITHARICHTHYS CORNUTUS,HIPPOGLOSSOIDES PLATESSOIDES,MENTICIRRHUS AMERICANUS,ALOSA AESTIVALIS,MYOXOCEPHALUS OCTODECEMSPINOSUS,ZOARCIDAE,SCORPAENIDAE,GADUS MORHUA,CANCER BOREALIS,HIPPOGLOSSUS HIPPOGLOSSUS,LUMPENUS LUMPRETAEFORMIS,STENOTOMUS CHRYSOPS,BROSME BROSME,LOPHIUS GASTROPHYSUS,CARCHARIAS TAURUS,CANCER IRRORATUS,PARALICHTHYS OBLONGUS,SCOPHTHALMUS AQUOSUS,LOLIGO PLEII,PONTOPHILUS NORVEGICUS,SPHOEROIDES MACULATUS,TRACHURUS LATHAMI,LEIOSTOMUS XANTHURUS,CHIONOECETES OPILIO,DICHELOPANDALUS LEPTOCERUS,PORTUNUS SPINIMANUS,SCYLIORHINUS RETIFER,ARGYROPELECUS ACULEATUS,DASYATIS SAY,GLYPTOCEPHALUS CYNOGLOSSUS,OSMERUS MORDAX,ARCTOZENUS RISSOI,CONGER OCEANICUS,CONGRIDAE,POMATOMUS SALTATRIX,BREVOORTIA TYRANNUS,LOPHIIFORMES,UNKNOWN 01,DIBRANCHUS ATLANTICUS,MYXINE GLUTINOSA,PLACOPECTEN MAGELLANICUS,LOPHIUS AMERICANUS,OPHIDION GRAYI,CYNOSCION REGALIS,ETROPUS SP,MICROPOGONIAS UNDULATUS,BAIRDIELLA CHRYSOURA,ENCHELYOPUS CIMBRIUS,PENAEUS SP,CALLINECTES SAPIDUS,OVALIPES STEPHENSONI,LIMANDA FERRUGINEA,MULLUS AURATUS,SCOMBER SCOMBRUS,GYMNURA MICRURA,ETROPUS MICROSTOMUS,PSEUDOPLEURONECTES AMERICANUS,GADELLA IMBERBIS,CHLAMYS ISLANDICA,PORTUNIDAE,MAJIDAE,NEMICHTHYS SCOLOPACEUS,LYCENCHELYS VERRILLI,CRYPTACANTHODES MACULATUS,ALOSA PSEUDOHARENGUS,SYMPHURUS SP,HOMARUS AMERICANUS,PRIACANTHUS ARENATUS,TRICHIURIDAE,MAUROLICUS WEITZMANI,HEMANTHIAS AUREORUBENS,LEUCORAJA OCELLATA,CALAPPIDAE,ANTHIAS NICHOLSI,MALACORAJA SENTA,LIMULUS POLYPHEMUS,CYCLOPTERUS LUMPUS,LEPOPHIDIUM PROFUNDORUM,SQUATINA DUMERIL,LITHODES MAJA,OVALIPES OCELLATUS,PRIONOTUS EVOLANS,CLUPEA HARENGUS,PRIONOTUS ALATUS,ARGENTINA STRIATA,PERISTEDION MINIATUM,SCOMBER JAPONICUS,AMMODYTES DUBIUS,LEUCORAJA GARMANI,PRIONOTUS CAROLINUS,MELANOSTIGMA ATLANTICUM,SEBASTES FASCIATUS,FOETOREPUS AGASSIZI,RAJA EGLANTERIA,CYNOSCION NOTHUS,TAUTOGA ONITIS,STELLEROIDEA,CHLOROPHTHALMUS AGASSIZI,ASPIDOPHOROIDES MONOPTERYGIUS,UROPHYCIS REGIA,MORONE SAXATILIS,SEPIOLIDAE,LAGOCEPHALUS LAEVIGATUS,MONOLENE SESSILICAUDA,MYLIOBATIS FREMINVILLEI,SPISULA SOLIDISSIMA,LOPHOLATILUS CHAMAELEONTICEPS,DIPTURUS LAEVIS,ALOSA SAPIDISSIMA,HELICOLENUS DACTYLOPTERUS,DASYATIS CENTROURA,CAPROIDAE,CARCHARHINUS PLUMBEUS,TETRAODONTIDAE,MERLUCCIUS BILINEARIS,ANARHICHAS LUPUS,MACROZOARCES AMERICANUS,LOLIGO PEALEII,MENIDIA MENIDIA,CITHARICHTHYS ARCTIFRONS,HEMITRIPTERUS AMERICANUS,CYTTOPSIS ROSEA,STOLOTEUTHIS LEUCOPTERA,UROPHYCIS SP,AMBLYRAJA RADIATA,POLYMIXIA LOWEI,ARGENTINA SILUS,PARALICHTHYS DENTATUS,CHAULIODUS SLOANI,PASIPHAEA MULTIDENTATA,EUMICROTREMUS SPINOSUS,ANTIGONIA CAPROS,ARGOPECTEN GIBBUS,SYNGNATHIDAE,MACRORHAMPHOSUS SCOLOPAX,OPHIDION MARGINATUM,GALATHEIDAE,MERLUCCIUS ALBIDUS,GERYON QUINQUEDENS,PONTINUS LONGISPINIS,SQUALUS ACANTHIAS,ZENOPSIS CONCHIFERA,CENTROPRISTIS STRIATA,PETROMYZON MARINUS,TRASH SPECIES IN CATCH,ETRUMEUS TERES,BATHYNECTES LONGISPINA,ANCHOA MITCHILLI,ACIPENSER OXYRHYNCHUS,LEUCORAJA ERINACEA,UROPHYCIS CHUSS,XENOLEPIDICHTHYS DALGLEISHI,UROPHYCIS CHESTERI,OPHICHTHIDAE,PARASUDIS TRUCULENTA,SYNODUS FOETENS,SERRANIDAE,MOLA MOLA,TRICHIURUS LEPTURUS,BATHYPOLYPUS ARCTICUS,MYCTOPHIDAE
HB201201,201202,377,-69.47638,43.743308,30/04/2012-03:19:02,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,39,0,1,17,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,22,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
HB201201,201202,174,-69.928857,40.645158,28/03/2012-03:10:44,1090,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,519,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3393,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,93,0,0,0,0,0,0,0,0,0,0
HB201201,201202,334,-70.241145,41.948565,25/04/2012-06:16:13,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30,0,0,0,0,0,0,0,0,0,0,4,52,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,25,0,0,47,0,0,0,0,0,0,3,53,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,0,0,0,0,0,0,0,0,0,0
HB201201,201202,256,-67.094993,41.938752,11/04/2012-07:35:13,1190,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,17,0,0,0,0,0,49,0,0,13,1,1,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,48,0,0,0,12,0,0,0,0,0,4,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,4,0,0,0,0,0,0,0,0,0,0
HB201201,201202,99,-71.836258,39.773572,21/03/2012-10:22:07,1040,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,16,0,0,0,0,482,0,0,6,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,54,0,0,0,0,0,0,0,0,0,1803,0,0,0,0,0,0,0,0,0,18
HB201201,201202,184,-69.76295,39.919477,03/04/2012-05:06:07,1120,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,14,0,4,0,0,0,0,76,0,0,1,0,148,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,11,0,0,136,0,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,12
HB201201,201202,250,-67.404395,42.67643,10/04/2012-13:51:40,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,41,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,71,0,0,0,0,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,0,16,0,0,0,0,0,0,3,1
HB201201,201202,17,-73.879073,38.696113,01/03/2012-21:02:08,1690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
HB201201,201202,194,-68.208977,40.430472,04/04/2012-09:22:35,1140,0,0,0,0,0,0,0,0,0,0,0,0,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,165,0,0,213,0,161,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0
HB201201,201202,152,-72.076775,40.904972,25/03/2012-20:43:02,3050,0,0,0,0,0,0,0,0,0,0,0,0,3380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,1,91,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
